Meal,Calories,Cholesterol,Fat,Sugar,Sodium,,link
Mac ‘n cheese with tomato,148,12,6.53,3.35,131,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2344305/nutrients
"Burrito bowl, beef or pork, with beans and rice",172,37,8.53,0.25,310,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2344043/nutrients
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",115,23,7.34,1,310,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2342188/nutrients
"Hamburger, on wheat bun, 1 small patty",282,47,13.9,2.95,350,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2342373/nutrients
"Beef, pot roast",251,101,15.4,0,370,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2341253/nutrients
"Pancakes, fruit",232,52,9.54,7.7,395,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2343789/nutrients
"Mixed salad greens, raw",17,0,0.28,0.91,44,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2345312/nutrients
Broccoli casserole with rice,106,8,3.52,1.23,185,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2345163/nutrients
"Rice with chicken, Puerto Rican style",299,42,14.1,0.46,728,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2344458/nutrients
Lasagna with meat and spinach,207,42,10.8,2.16,412,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2344239/nutrients
"Peanut butter sandwich, with regular peanut butter, on wheat bread",394,0,20.4,7.05,451,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2343027/nutrients
"Taco, corn tortilla, chicken, with beans, cheese",194,34,8.47,0.51,399,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2344004/nutrients
"Broccoli salad with cauliflower, cheese, bacon bits, and dressing",270,21,22.8,6.43,340,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2345332/nutrients
" Egg omelet or scrambled egg, with tomatoes, no added fat",127,356,8.67,0.62,213,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2342705/nutrients
Paella with seafood,143,25,4.77,0.92,609,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2342145/nutrients
Vegetable sandwich wrap,160,10,6.61,3.28,545,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2344624/nutrients
"Quesadilla, with vegetables",254,14,11.4,3.16,546,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2344078/nutrients
