State,Adult.Obesity*100,Average.Income,percent_democrat, All fast food restaurants,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017,Unemployment_rate_2018,Unemployment_rate_2019,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
Alabama,33.45,25220.182995,37.03289205631111,81.7,7.080597014925373,6.704477611940298,5.213432835820896,4.461194029850746,3.4776119402985075,17.23134328358209,35.81492537313433,28.907462686567165,18.05223880597015
Alaska,28.3,33862.22154,36.09899256056865,61.9,8.9375,8.8125,8.325000000000001,7.641666666666667,7.166666666666667,9.821052631578947,34.81578947368421,32.04736842105263,23.310526315789478
Arizona,24.45,27456.51246,50.25968224128172,67.9,8.753333333333334,7.773333333333331,6.8533333333333335,6.6466666666666665,6.64,14.978571428571428,27.807142857142857,36.25714285714285,20.935714285714287
Arkansas,33.275,24034.8056525,35.60921846399535,69.9,5.7026666666666666,4.6226666666666665,4.292,4.173333333333333,4.152,15.556,38.62533333333334,29.30666666666667,16.517333333333333
California,22.825,32608.4198,65.9347604479447,82.3,7.5810344827586205,6.95,6.082758620689655,5.348275862068966,5.246551724137931,15.31206896551724,23.56551724137931,33.84137931034483,27.29137931034483
Colorado,20.25,34203.769025,56.769307426597024,75.7,3.8734375,3.20625,2.6296875,3.0578125,2.7390625,8.934920634920635,27.377777777777776,32.144444444444446,31.544444444444444
Connecticut,24.475,40548.8856975,60.24189984707089,76.1,5.5,4.725,4.275,3.8,3.4875,8.4125,28.025,26.3125,37.25
Delaware,28.825,32109.6220025,59.64685928887273,78.3,4.933333333333334,4.6000000000000005,4.533333333333334,3.8,3.766666666666667,10.966666666666669,31.63333333333333,28.03333333333333,29.4
Florida,25.7,28155.978055,48.29845581354279,65.5,5.838805970149253,5.152238805970149,4.467164179104477,3.886567164179104,3.668656716417911,14.391044776119404,33.71940298507462,29.470149253731343,22.413432835820892
Georgia,28.95,27566.3391525,50.10517729974758,82.5,6.870440251572328,6.154716981132076,5.347798742138364,4.513836477987422,3.9962264150943394,17.526415094339622,35.808805031446546,28.036477987421385,18.629559748427678
