State,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
Alabama,17.23134328358209,35.81492537313433,28.907462686567165,18.05223880597015
Alaska,9.821052631578947,34.81578947368421,32.04736842105263,23.310526315789474
Arizona,14.978571428571428,27.807142857142857,36.25714285714285,20.935714285714287
Arkansas,15.556000000000001,38.62533333333334,29.30666666666667,16.517333333333333
California,15.312068965517241,23.56551724137931,33.84137931034483,27.29137931034483
Colorado,8.934920634920635,27.377777777777776,32.144444444444446,31.544444444444444
Connecticut,8.4125,28.025,26.3125,37.25
Delaware,10.966666666666667,31.63333333333333,28.03333333333333,29.400000000000002
Florida,14.391044776119404,33.71940298507462,29.470149253731343,22.413432835820895
Georgia,17.526415094339622,35.808805031446546,28.036477987421385,18.629559748427674
Hawaii,7.825,29.35,32.625,30.2
Idaho,11.95,31.068181818181817,35.36363636363637,21.629545454545454
Illinois,10.244117647058824,34.51176470588235,33.732352941176465,21.51078431372549
Indiana,11.825000000000001,39.05543478260869,29.242391304347827,19.870652173913044
Iowa,8.356565656565657,35.59292929292929,34.10505050505051,21.95151515151515
Kansas,10.083809523809524,31.302857142857146,35.36666666666667,23.250476190476192
Kentucky,17.90583333333333,38.270833333333336,27.27583333333333,16.545833333333334
Louisiana,17.9328125,39.153125,25.65,17.2625
Maine,8.05625,34.41875,29.5375,27.98125
Maryland,10.016666666666667,30.258333333333336,27.09166666666667,32.637499999999996
Massachusetts,8.342857142857143,24.942857142857143,24.87857142857143,41.857142857142854
Michigan,9.355421686746988,34.790361445783134,33.51807228915663,22.33855421686747
Minnesota,7.817241379310345,32.44252873563219,35.788505747126436,23.960919540229884
Mississippi,18.93780487804878,33.28658536585366,30.271951219512196,17.509756097560974
Missouri,13.367826086956521,39.3704347826087,28.44608695652174,18.817391304347826
Montana,8.091071428571428,33.176785714285714,33.80535714285714,24.93035714285714
Nebraska,8.234408602150538,31.80860215053763,37.225806451612904,22.7247311827957
Nevada,11.929411764705883,33.63529411764706,36.1,18.33529411764706
New Hampshire,7.42,29.880000000000003,28.919999999999998,33.78
New Jersey,9.971428571428572,28.580952380952382,24.076190476190476,37.385714285714286
New Mexico,15.596875,31.225,31.8625,21.315625
New York,10.862903225806452,31.743548387096773,29.030645161290323,28.37258064516129
North Carolina,14.860999999999999,30.533,32.318000000000005,22.281
North Dakota,9.333962264150943,30.78490566037736,36.862264150943396,23.037735849056602
Ohio,10.986363636363636,39.86818181818182,28.586363636363636,20.5625
Oklahoma,13.892207792207794,36.48311688311688,30.157142857142855,19.458441558441557
Oregon,10.73611111111111,28.291666666666668,36.766666666666666,24.211111111111112
Pennsylvania,10.108955223880596,41.8820895522388,24.4089552238806,23.607462686567164
Rhode Island,8.44,24.66,25.8,41.1
South Carolina,15.873913043478263,34.028260869565216,29.31086956521739,20.784782608695654
South Dakota,10.039393939393939,34.631818181818176,32.025757575757574,23.30757575757576
Tennessee,16.396842105263158,39.694736842105264,26.370526315789473,17.530526315789476
Texas,19.153543307086615,31.90275590551181,29.886614173228345,19.055511811023624
Utah,8.144827586206896,28.379310344827587,37.241379310344826,26.24137931034483
Vermont,8.157142857142857,31.75714285714286,26.24285714285714,33.85
Virginia,13.305384615384616,31.20076923076923,28.634615384615383,26.859230769230766
Washington,10.935897435897436,26.128205128205128,35.97692307692307,26.971794871794874
West Virginia,14.885454545454547,44.03272727272728,24.35090909090909,16.741818181818182
Wisconsin,8.120833333333334,35.38333333333333,32.88055555555556,23.623611111111114
Wyoming,7.156521739130435,30.578260869565216,36.34782608695652,25.90869565217391
