State,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017,Unemployment_rate_2018,Unemployment_rate_2019
Alabama,7.080597014925373,6.704477611940298,5.213432835820896,4.461194029850746,3.4776119402985075
Alaska,8.9375,8.8125,8.325000000000001,7.641666666666667,7.166666666666667
Arizona,8.753333333333334,7.7733333333333325,6.8533333333333335,6.6466666666666665,6.64
Arkansas,5.7026666666666666,4.6226666666666665,4.292,4.173333333333333,4.152
California,7.5810344827586205,6.95,6.082758620689655,5.348275862068966,5.246551724137931
Colorado,3.8734375,3.20625,2.6296875,3.0578125,2.7390625
Connecticut,5.5,4.725,4.275,3.8,3.4875
Delaware,4.933333333333334,4.6000000000000005,4.533333333333334,3.7999999999999994,3.766666666666667
Florida,5.838805970149253,5.152238805970149,4.467164179104477,3.886567164179104,3.6686567164179107
Georgia,6.870440251572328,6.154716981132076,5.347798742138364,4.513836477987422,3.9962264150943394
Hawaii,3.675,3.075,2.3,2.4499999999999997,2.55
Idaho,4.386363636363637,4.175,3.5954545454545452,3.2704545454545455,3.2590909090909093
Illinois,6.126470588235294,6.076470588235294,5.087254901960784,4.91078431372549,4.270588235294118
Indiana,4.810869565217391,4.405434782608696,3.506521739130435,3.381521739130435,3.2163043478260867
Iowa,3.7050505050505054,3.585858585858586,3.071717171717172,2.593939393939394,2.726262626262626
Kansas,3.896190476190476,3.8276190476190473,3.355238095238095,2.997142857142857,2.956190476190476
Kentucky,6.4325,6.390833333333333,5.8758333333333335,5.0425,4.895
Louisiana,7.426315789473684,7.166666666666667,6.005263157894737,5.624561403508772,5.492982456140351
Maine,4.875,4.20625,3.7375,3.41875,3.03125
Maryland,5.558333333333334,4.8,4.545833333333333,4.233333333333333,3.8791666666666664
Massachusetts,5.171428571428572,4.335714285714286,4.121428571428572,3.792857142857143,3.3857142857142857
Michigan,6.509638554216867,6.065060240963855,5.849397590361446,5.143373493975903,4.867469879518072
Minnesota,4.456321839080459,4.620689655172414,4.0954022988505745,3.6758620689655173,3.860919540229885
Mississippi,7.715853658536586,7.023170731707316,6.163414634146341,5.763414634146342,6.504878048780488
Missouri,5.547826086956522,5.063478260869565,4.1286956521739135,3.4808695652173913,3.654782608695652
Montana,4.435714285714286,4.5125,4.2785714285714285,3.930357142857143,3.680357142857143
Nebraska,2.875268817204301,2.98494623655914,2.8827956989247316,2.774193548387097,2.963440860215054
Nevada,6.917647058823529,5.770588235294118,4.688235294117647,4.135294117647058,3.676470588235294
New Hampshire,3.3600000000000003,2.8,2.75,2.58,2.59
New Jersey,6.133333333333334,5.29047619047619,4.852380952380952,4.295238095238095,3.695238095238095
New Mexico,7.290909090909091,7.1909090909090905,6.46060606060606,5.33030303030303,5.4393939393939394
New York,5.574193548387097,5.190322580645161,5.164516129032258,4.479032258064516,4.166129032258064
North Carolina,6.335,5.656000000000001,4.9639999999999995,4.422,4.145
North Dakota,3.313207547169811,3.4924528301886792,2.994339622641509,2.7584905660377355,2.7207547169811317
Ohio,5.390909090909091,5.532954545454545,5.239772727272728,4.7875000000000005,4.5249999999999995
Oklahoma,4.787012987012988,5.111688311688312,4.194805194805195,3.312987012987013,3.2532467532467533
Oregon,6.269444444444444,5.425000000000001,4.730555555555556,4.611111111111111,4.313888888888889
Pennsylvania,5.759701492537313,5.844776119402986,5.32089552238806,4.676119402985075,4.8014925373134325
Rhode Island,5.66,4.86,4.14,3.7600000000000002,3.34
South Carolina,6.971739130434782,5.734782608695652,4.880434782608695,3.917391304347826,3.223913043478261
South Dakota,3.5484848484848484,3.490909090909091,3.6,3.3621212121212123,3.4863636363636363
Tennessee,6.523157894736842,5.583157894736842,4.34,4.0336842105263155,3.9642105263157896
Texas,4.781102362204725,5.1299212598425195,4.519291338582677,3.8751968503937007,3.5129921259842516
Utah,4.748275862068965,4.686206896551725,4.124137931034483,3.6999999999999997,3.262068965517241
Vermont,3.9857142857142853,3.5142857142857147,3.442857142857143,2.957142857142857,2.6285714285714286
Virginia,5.06390977443609,4.620300751879699,4.177443609022556,3.354887218045113,3.060902255639098
Washington,6.687179487179487,6.48974358974359,5.712820512820513,5.535897435897436,5.641025641025641
West Virginia,7.549090909090909,7.098181818181818,5.994545454545454,5.818181818181818,5.774545454545455
Wisconsin,4.936111111111111,4.313888888888889,3.563888888888889,3.3152777777777778,3.6652777777777774
Wyoming,4.104347826086957,5.1,4.1173913043478265,3.891304347826087,3.6652173913043478
